Tag ID,Type,Value,Magnitude,Absolute,Price,Spiciness,Damage,Anticipation,Calories,Effect,Combines Well With,Combines Poorly With,Combines Dramatically With,HelpTag
Thai,nationality,,,,,,,,,,Thai,,,
Vietnamese,nationality,,,,,,,,,,Vietnamese,,,
boring,novelty,,-1,,,,,-2,,,,,,
Canadian,nationality,,,,,,,,,,Canadian,,,
enticing,novelty,,2,,,,,2,,,,,,
exciting,novelty,,3,,,,,,,,,,,
exotic,novelty,,1,,,,,,,,,,,
fancy,novelty,2,,,3,,,,,,,,,
impossible,novelty,,4,,,,,4,,,,,,
nice,novelty,1,,,,,,,,,,,,
unsettling,novelty,-1,,,,,,,,,,,,
cheap,price,-1,,,-2,,,,,,,,,
expensive,price,,,,2,,,,,,,,,
upscale,price,,,,1,,,,,,,,,
bad,quality,,,-1,,,,,,,,,,Must have negative value
good,quality,,,1,,,,,,,,,,Must have positive value
extreme spice,spiciness,1,,,,4,3;5,,,,entree,sweet; dessert,,
hot spice,spiciness,1,,,,3,2;4,,,,entree,sweet; dessert,,
mild spice,spiciness,0.5,,,,1,0;2,,,,entree,sweet; dessert,,
moderate spice,spiciness,1,,,,2,1;3,,,,entree,sweet; dessert,,
marinade,style,,,,,,,,,,meat,,,
dairy,substance,,,,,,,,,incompatible with vegan,dessert,,,
fruit,substance,,,,,,,,,,dessert,meat,,
grain,substance,,,,,,,,,,meat; seafood; dairy; fruit,,,
meat,substance,,,,,,,,,,hot,dessert; vegan; cold,,
seafood,substance,,,,,,,,,May be served raw,hot,dessert; cold,,
vegan,substance,-1,,,,,,,,incompatible with: meat; seafood; dairy,,dessert,,
vegetable,substance,,,,,,,,,,,dessert; beverage,,
amazing,taste,4,,,,,,,,,,,,
awesome,taste,3,,,,,,,,,,,,extremely good
bland,taste,,-1,,,,,,,,,,,
classic,taste,1,,,,,,,,,,,,
delicious,taste,2,,,,,,,,,,,,very good
disgusting,taste,-3,,,,,,,,,,,,extremely bad
dull,taste,,-2,,,,,,,,,,,
greasy,taste,-1,,,,,,,2,,,,,
gross,taste,-2,,,,,,,,,,,,very bad
horrific,taste,-4,,,,,,,,,,,,
potent,taste,,2,,,,,,,,,,,
powerful,taste,,3,,,,,,,,,,,
tasty,taste,1,,,,,,,,,,,,
ultimate,taste,,4,,,,,,,,,,,
unappetizing,taste,-1,,,,,,,,,,,,
weak,taste,,-2,,,,,,,,,,,
cold,temperature,,,,,,,,,,cold,hot,,good only with cold
hot,temperature,,,,,,,,,,hot,cold,,good only with hot
lukewarm,temperature,-1,,,,,,,,,,,,
raw,temperature,,,,,,,,,,,meat---,,ruins meat
chewy,texture,,,,,,,,,,crispy,liquid// spongy,,
creamy,texture,,,,,,,,,,sweet// liquid,,,
crispy,texture,,,,,,,,,,creamy// chewy,liquid// spongy,,
crunchy,texture,,,,,,,,,,,juicy// spongy,,
doughy,texture,,,,,,,,,,creamy// crispy,crunchy//,,
gooey,texture,,,,,,,,,,gooey//,chewy//,,
juicy,texture,,1,,,,,,,,,,,
liquid,texture,,,,,,,,,,creamy,,,
spongy,texture,,,,,,,,,,sweet,liquid,,
sticky,texture,,,,,,,,,,,,,
tough,texture,-1,,,,,,,,,,,,
random,wildcard,,,,,,,,,,,,,
nut,substance,,,,,,,,,,dessert,,,
gamey,taste,-1,,,,,,,,,,,,
fried,technique,1,,,,,,,,,,,,
corporate,execution,,-1,,,,,,,,,,,
Middle Eastern,nationality,,,,,,,,,,Middle Eastern,,,
Russian,nationality,,,,,,,,,,,,,
